"ID","mean_Ctrl3w","mean_KO3w","mean_Ctrl8w_NaCl","mean_KO8w_NaCl","mean_KO8w_AAV"
"ENSMUSG00000001100",5636.4,4909,4078.4,3964.5,3428
"ENSMUSG00000001103",2.6,2.83333333333333,2.6,0.166666666666667,1.5
"ENSMUSG00000001105",1242.8,1098.83333333333,828.8,768.333333333333,777.166666666667
"ENSMUSG00000001119",9116,8970.16666666667,4084.8,7954.16666666667,8995.5
"ENSMUSG00000001120",126.6,119.166666666667,79.6,120.333333333333,95.1666666666667
"ENSMUSG00000001123",1221.2,1416,984,910.666666666667,1278.66666666667
"ENSMUSG00000001127",3764.8,3380.33333333333,3168.4,3046.5,2990.16666666667
"ENSMUSG00000001128",373.6,350.333333333333,326,286,300.833333333333
"ENSMUSG00000001131",97,118.166666666667,77.8,1692.66666666667,537.666666666667
"ENSMUSG00000001134",179.4,157,165.2,173.333333333333,130.166666666667
"ENSMUSG00000001138",687.2,671.5,573.2,513.333333333333,605.5
"ENSMUSG00000001143",855,860.833333333333,854.8,686.833333333333,818.666666666667
"ENSMUSG00000001150",1117.8,993.166666666667,841.6,960.166666666667,942.5
"ENSMUSG00000001151",2405.8,2163.66666666667,2286,1104.66666666667,1794
"ENSMUSG00000001155",4.2,4.66666666666667,6,5.83333333333333,6
"ENSMUSG00000001156",399.6,338.166666666667,275.4,224.166666666667,320
"ENSMUSG00000001157",367.8,345.333333333333,264.6,306.333333333333,308.833333333333
"ENSMUSG00000001158",1250.4,1154.16666666667,1078.6,1059.66666666667,941.166666666667
"ENSMUSG00000001166",29.8,29,22.6,24.5,32.3333333333333
"ENSMUSG00000001173",846.6,722,618.8,633.666666666667,634.5
"ENSMUSG00000001175",8418,7600.16666666667,5988.6,6224.83333333333,6313.16666666667
"ENSMUSG00000001211",7659.6,7084.5,5752.6,5953,4209.33333333333
"ENSMUSG00000001225",6,9.5,2.2,0.5,1
"ENSMUSG00000001227",514.8,515.5,397.6,555.166666666667,436.666666666667
"ENSMUSG00000001228",103.8,79.3333333333333,74.2,63.8333333333333,125.333333333333
"ENSMUSG00000001229",1885.6,1794,1962.4,1908.33333333333,1946
"ENSMUSG00000001240",1741.8,1883.83333333333,1218.6,974.5,1278.83333333333
"ENSMUSG00000001247",57.6,57,39.2,53.5,41.5
"ENSMUSG00000001248",1854,1708.83333333333,1685.4,2078.5,1933.5
"ENSMUSG00000001249",64,80.3333333333333,58.6,93,89.3333333333333
"ENSMUSG00000001270",1224,1126.16666666667,877.2,841.833333333333,1011.33333333333
"ENSMUSG00000001280",1792,1636.83333333333,1176,1342.5,1268.5
"ENSMUSG00000001281",61.2,30.8333333333333,29.2,60.3333333333333,65.5
"ENSMUSG00000001285",503.4,462,418.6,391.333333333333,384.166666666667
"ENSMUSG00000001288",787.6,774.333333333333,682,838,850.5
"ENSMUSG00000001289",2785.6,2615.33333333333,2368.6,2350.66666666667,2132.5
"ENSMUSG00000001300",1165.6,1036,797.6,914,1009.83333333333
"ENSMUSG00000001305",287,280.666666666667,199.2,334.166666666667,179.666666666667
"ENSMUSG00000001313",106.6,104.333333333333,121.8,174.333333333333,150.666666666667
"ENSMUSG00000001323",882.6,917.166666666667,759,1274.33333333333,1181.66666666667
"ENSMUSG00000001333",750.6,606.166666666667,613.4,1013.66666666667,789.666666666667
"ENSMUSG00000001334",11519.2,10989.3333333333,11225.6,6866,7118.33333333333
"ENSMUSG00000001348",19.2,17.3333333333333,14.4,62,50.8333333333333
"ENSMUSG00000001349",134.6,124.333333333333,141.4,124.166666666667,169.833333333333
"ENSMUSG00000001366",1952.6,1726,1199,1430.5,1255.66666666667
"ENSMUSG00000001376",896,870.5,720.6,917.5,774.333333333333
"ENSMUSG00000001380",1333.2,1213,1049,1881.5,1098.16666666667
"ENSMUSG00000001383",1545,1444,1293.4,1530.66666666667,1344.16666666667
"ENSMUSG00000001403",48.6,46,26.2,49.8333333333333,90
"ENSMUSG00000001415",2663.8,2465.16666666667,2715.4,3309.16666666667,2704.33333333333
"ENSMUSG00000001416",4902,4546,3631.6,6646.66666666667,4076.83333333333
"ENSMUSG00000001418",1151.8,1166,1066.4,1474.5,1354.16666666667
"ENSMUSG00000001419",8159.6,7292.66666666667,6771.6,8379.16666666667,5847.66666666667
"ENSMUSG00000001420",35.4,32.6666666666667,34.8,15.5,26
"ENSMUSG00000001424",2502.6,2364.33333333333,2103.6,4210.83333333333,2698.83333333333
"ENSMUSG00000001435",1079.8,987.833333333333,667.6,1117.5,1323.66666666667
"ENSMUSG00000001436",136.2,141.5,129.2,208,110.666666666667
"ENSMUSG00000001440",5099,4457,3845.6,5680.5,4245.83333333333
"ENSMUSG00000001441",3925.4,3704.33333333333,3814.6,2830.83333333333,2996.16666666667
"ENSMUSG00000001444",8.4,2,2.2,2,5.33333333333333
"ENSMUSG00000001445",1893.2,1820.83333333333,1713,1752.83333333333,1541.33333333333
"ENSMUSG00000001467",443.6,451.333333333333,304.6,528.166666666667,417.666666666667
"ENSMUSG00000001472",7024.6,6575.16666666667,6185,9267.33333333333,7310.16666666667
"ENSMUSG00000001473",1081.4,836.5,565.4,1065.33333333333,594.5
"ENSMUSG00000001482",2449,2434.33333333333,2420.2,5447.33333333333,2906
"ENSMUSG00000001493",700.6,718.666666666667,455,1797,1655.16666666667
"ENSMUSG00000001494",55.6,42.6666666666667,73.4,83.1666666666667,74.3333333333333
"ENSMUSG00000001496",0,0.166666666666667,0,0,0
"ENSMUSG00000001497",1.2,0.833333333333333,0.6,0.166666666666667,0
"ENSMUSG00000001504",289,233.333333333333,186.2,135.333333333333,91.6666666666667
"ENSMUSG00000001506",10415.6,10454,4275.4,14860,14027
"ENSMUSG00000001507",701.8,643.166666666667,484.2,804.833333333333,531.5
"ENSMUSG00000001508",4082.8,3927.33333333333,3883.2,3401.33333333333,2821.66666666667
"ENSMUSG00000001510",0.4,0.333333333333333,0.6,1.5,2.5
"ENSMUSG00000001517",69.6,59.6666666666667,49.2,91,137.833333333333
"ENSMUSG00000001518",568.8,508.833333333333,465.8,486.333333333333,367.166666666667
"ENSMUSG00000001520",92.6,97.6666666666667,63,302.5,89.5
"ENSMUSG00000001521",381.2,351.333333333333,352.8,475.333333333333,459
"ENSMUSG00000001524",388,391.5,375,511.833333333333,332.166666666667
"ENSMUSG00000001525",5263.2,4358.66666666667,2962.6,3587.16666666667,3407
"ENSMUSG00000001542",713.4,478.666666666667,555.8,1360.83333333333,716.833333333333
"ENSMUSG00000001552",8176.2,7512.5,7796.8,7471,8239.5
"ENSMUSG00000001555",1815.8,1659.66666666667,1156.2,1321.5,1009.83333333333
"ENSMUSG00000001558",16,15.8333333333333,19.6,6.33333333333333,18
"ENSMUSG00000001569",748.4,721.333333333333,641.6,878.666666666667,673.666666666667
"ENSMUSG00000001576",1700.8,1671.66666666667,1420.8,1917.33333333333,1492.83333333333
"ENSMUSG00000001583",3.4,5.16666666666667,3,7.66666666666667,7.83333333333333
"ENSMUSG00000001588",53.8,39.5,30.2,29.5,45.3333333333333
"ENSMUSG00000001604",3204,2984,2911.6,1211.5,1785.5
"ENSMUSG00000001627",2420.8,2185.83333333333,1258.4,4709.5,1559.5
"ENSMUSG00000001630",619.4,547.833333333333,457,451.666666666667,457.333333333333
"ENSMUSG00000001632",903.8,813.333333333333,798.4,800.333333333333,784.333333333333
"ENSMUSG00000001642",1118,1014.83333333333,964,668.5,676.5
"ENSMUSG00000001656",0,0,0,0,0.166666666666667
"ENSMUSG00000001657",0,0.166666666666667,0,0,0
"ENSMUSG00000001661",0.6,0,1,0.5,0.5
"ENSMUSG00000001663",267.8,263.333333333333,491.2,248.166666666667,359.833333333333
"ENSMUSG00000001665",70.4,64.5,96.6,82.8333333333333,106.666666666667
"ENSMUSG00000001666",387.8,382.5,407.4,309.5,257.666666666667
"ENSMUSG00000001670",1.2,3.33333333333333,0.4,0.166666666666667,0.666666666666667
"ENSMUSG00000001672",0,0.666666666666667,0.4,0.666666666666667,0.333333333333333
"ENSMUSG00000001674",205,203.166666666667,164.4,265.833333333333,175.333333333333
"ENSMUSG00000001687",2552.4,2244.5,2199.4,2516.83333333333,2080.66666666667
"ENSMUSG00000001700",968.6,855.833333333333,522.4,1093.66666666667,566
"ENSMUSG00000001707",316.4,301.333333333333,260.6,577.5,283.833333333333
"ENSMUSG00000001729",8663.8,8649.33333333333,7258.6,8273.16666666667,5090.16666666667
"ENSMUSG00000001739",142.4,138.5,99.6,255.666666666667,169.166666666667
"ENSMUSG00000001741",301.2,314.666666666667,333.2,267.5,479.666666666667
"ENSMUSG00000001750",796.6,758,672.8,987.833333333333,1071.66666666667
"ENSMUSG00000001751",369,389.5,383.4,699.166666666667,441
"ENSMUSG00000001755",715.4,756.5,593.8,701.5,554.166666666667
"ENSMUSG00000001761",557.4,522.333333333333,417,534.166666666667,538.833333333333
"ENSMUSG00000001763",29.8,28.5,36.2,29,27.1666666666667
"ENSMUSG00000001767",843,754.833333333333,630.6,622.666666666667,570.666666666667
"ENSMUSG00000001768",1285,1217.66666666667,1004,844,1228
"ENSMUSG00000001773",1.4,1,1,0.333333333333333,0
"ENSMUSG00000001774",2499.4,1820.66666666667,1602,1826.66666666667,1531.66666666667
"ENSMUSG00000001783",2617.2,2519.66666666667,2069.4,3158.5,2066.83333333333
"ENSMUSG00000001785",724.6,735.833333333333,561,1032.16666666667,593
"ENSMUSG00000001786",488.2,466.666666666667,404.8,469.666666666667,423.333333333333
"ENSMUSG00000001794",8223,7515.33333333333,7714,8368.83333333333,8090.66666666667
"ENSMUSG00000001802",472.2,426.333333333333,412.8,298.333333333333,381.5
"ENSMUSG00000001804",0.2,0.333333333333333,2,0.833333333333333,0.833333333333333
"ENSMUSG00000001827",1.4,3,0.6,10.8333333333333,6.5
"ENSMUSG00000001829",1903,2023,2202,3272.16666666667,2471.5
"ENSMUSG00000001833",6013.2,5244.33333333333,4659.8,5656.16666666667,5003
"ENSMUSG00000001844",690,599.333333333333,426.6,662.166666666667,488.666666666667
"ENSMUSG00000001847",5249.8,4552.5,3606.2,4077.83333333333,3558
"ENSMUSG00000001855",750.6,692.833333333333,666,802.333333333333,717.833333333333
"ENSMUSG00000001864",95,99.6666666666667,79.4,33.1666666666667,54
"ENSMUSG00000001865",56.8,79.8333333333333,34,31.1666666666667,40.3333333333333
"ENSMUSG00000001870",2368.2,2012.5,1871,1159.66666666667,1668.16666666667
"ENSMUSG00000001891",11498.6,14070.1666666667,10430.6,28369.5,12325.1666666667
"ENSMUSG00000001901",7.4,6.66666666666667,2.4,0.833333333333333,2.33333333333333
"ENSMUSG00000001909",1048.4,1053.16666666667,900.2,1396.66666666667,968.666666666667
"ENSMUSG00000001910",1292.4,1113.16666666667,1034.2,1188.5,1042.16666666667
"ENSMUSG00000001911",6579.2,6293.33333333333,5131.8,3609,4343.33333333333
"ENSMUSG00000001918",1219.4,1139,1249.4,1696.66666666667,1746
